1,홍길동,91,90,64,245,81.6666666667,1
2,유관순,72,62,55,189,63,1
3,이순신,88,63,68,219,73,1
4,강감찬,95,63,96,254,84.6666666667,1
5,김구,90,67,85,242,80.6666666667,1
6,김유신,91,95,80,266,88.6666666667,1
7,홍길자,97,54,83,234,78,1
8,홍길순,63,60,56,179,59.6666666667,1
9,jkimbley8,100,52,78,230,76.6666666667,1
10,gelmhirst9,83,75,61,219,73,1
11,adanielskia,73,78,62,213,71,1
12,ybourdiceb,99,75,53,227,75.6666666667,1
13,mwaymanc,56,60,53,169,56.3333333333,1
14,cswantond,70,71,91,232,77.3333333333,1
15,bdreppe,70,89,100,259,86.3333333333,1
16,wlerwayf,90,83,87,260,86.6666666667,1
17,prosterng,82,91,50,223,74.3333333333,1
18,doconorh,77,93,61,231,77,1
19,dmoriti,75,97,65,237,79,1
20,jtremberthj,85,52,86,223,74.3333333333,1
